"","pathway","pval","padj","log2err","ES","NES","size"
"1","REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT",0.897029702970297,0.98326546232423,0.0501934252649434,0.0556039321028909,0.633659927870041,96
"2","REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS",0.811965811965812,0.974647505422993,0.0583452776743612,-0.146408274025908,-0.716368953321082,16
"3","REACTOME_ABC_TRANSPORTER_DISORDERS",0.87992125984252,0.978083330036007,0.0508054139066364,0.0671106579922106,0.658215730063121,70
"4","REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT",0.309090909090909,0.84429703335176,0.107554375265169,-0.194077746007144,-1.1228087314987,23
"5","REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE",0.466796875,0.878483702181316,0.0815265143256594,0.229162564680124,0.99536304897772,13
"6","REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION",0.953125,0.988164485981308,0.046788296531803,0.150038388698367,0.573242218893254,10
"7","REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS",0.192982456140351,0.801058217193742,0.138022242496643,0.190158686411482,1.22019671192631,29
"8","REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3",0.150390625,0.762007874015748,0.158514105424824,0.343297333265087,1.3116144925859,10
"9","REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION",0.661417322834646,0.93346727117061,0.0642140881844605,-0.147426376440461,-0.842834718518866,22
"10","REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS",0.560728744939271,0.92012758442557,0.0738052724171275,0.159154929577465,0.886908040743418,22
"11","REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS",0.079664570230608,0.695630297026589,0.231126709673834,-0.175219777401652,-1.46109788349139,50
"12","REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS",0.536082474226804,0.916394461352157,0.0770736734944102,-0.13492826031258,-0.918742078516237,32
"13","REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA",0.565714285714286,0.922696613994096,0.0702812841717392,0.203403032231169,0.923708139122372,14
"14","REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS",0.667992047713718,0.93346727117061,0.0642140881844605,0.132017887333221,0.825093455514784,28
"15","REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP",0.523517382413088,0.909301008270081,0.0778840111977068,-0.119920411127794,-0.923330783479676,42
"16","REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_EPSILON",0.194444444444444,0.801058217193742,0.144630528034484,-0.256080077824996,-1.25298804687372,16
"17","REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING",0.477317554240631,0.887126890203813,0.0808589150280032,-0.156492219424446,-0.971240006230039,26
"18","REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES",0.596190476190476,0.93346727117061,0.0676760401641789,0.197548471085562,0.897120994762396,14
"19","REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS",0.666666666666667,0.93346727117061,0.065981614400873,0.0774565216077182,0.820745561452325,85
"20","REACTOME_ACTIVATION_OF_RAC1",0.413223140495868,0.875526424115766,0.0913924325943768,-0.239220203054347,-1.02332882301563,12
"21","REACTOME_ACTIVATION_OF_SMO",0.0666666666666667,0.695630297026589,0.252961123069611,-0.323626186087788,-1.54096320446933,15
"22","REACTOME_ACTIVATION_OF_THE_AP_1_FAMILY_OF_TRANSCRIPTION_FACTORS",0.426530612244898,0.878483702181316,0.0888945288620449,-0.255709679070482,-1.0062786912108,10
"23","REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S",0.409282700421941,0.873873873873874,0.0931454575337804,-0.113198735075561,-1.02041448376827,59
"24","REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX",0.474437627811861,0.887126890203813,0.083129129135339,-0.149213281462558,-0.971873295587585,29
"25","REACTOME_ACYL_CHAIN_REMODELLING_OF_PC",0.966292134831461,0.994016743033342,0.0442407423477375,0.116023885105729,0.558682313294547,16
"26","REACTOME_ACYL_CHAIN_REMODELLING_OF_PE",0.396190476190476,0.864394737282044,0.0891647117820678,0.234478647856009,1.06483090787382,14
"27","REACTOME_ACYL_CHAIN_REMODELLING_OF_PS",0.0694980694980695,0.695630297026589,0.237793834423688,0.35528538520604,1.48478962481864,12
"28","REACTOME_ADAPTIVE_IMMUNE_SYSTEM",0.275862068965517,0.831344545710796,0.11146266692298,0.0392975165206154,1.12228086527941,631
"29","REACTOME_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY",0.169387755102041,0.77765625,0.152144922367565,-0.338690689461023,-1.33282879613712,10
"30","REACTOME_ADENYLATE_CYCLASE_INHIBITORY_PATHWAY",0.0775510204081633,0.695630297026589,0.231126709673834,-0.338742705027132,-1.51700293578438,13
"31","REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS",0.134,0.739043276600763,0.170932335370056,-0.222286650957894,-1.34594379726916,25
"32","REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION",0.873767258382643,0.978083330036007,0.051218434854034,-0.0645507894331381,-0.685434508261644,76
"33","REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_1",0.237903225806452,0.828059895833333,0.125033367555272,-0.215124644552075,-1.19897475852152,21
"34","REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_12",0.121535181236674,0.739043276600763,0.186432558434075,-0.275118219330743,-1.37925434216272,17
"35","REACTOME_ADRENALINE_NORADRENALINE_INHIBITS_INSULIN_SECRETION",0.00733839789992654,0.618600783132173,0.407017918923954,-0.336566699107036,-2.01220495902647,24
"36","REACTOME_ADVANCED_GLYCOSYLATION_ENDPRODUCT_RECEPTOR_SIGNALING",0.954724409448819,0.988164485981308,0.0470699590082662,0.141021703521704,0.568681392502673,11
