baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000000003.10	118.040464540113	-0.000727450566215598	0.0745933280997238	-0.00975222026885661	0.992218977350857	0.99931391496222
ENSG00000000419.8	286.319352325246	-0.0361117297981668	0.0625957507535391	-0.576903853112187	0.564004407551455	0.965207697762762
ENSG00000000457.9	344.111748451476	0.0514389167103183	0.0574982414082571	0.894617216987289	0.370991745037841	0.956653910182263
ENSG00000000460.12	87.4986060135479	-0.0378286151072497	0.0811101451994884	-0.466385740208098	0.640939416640725	0.969821514526016
ENSG00000000938.8	60.5675833942488	-0.223956329158402	0.180719526962227	-1.23924809301439	0.215253635080725	0.956653910182263
ENSG00000000971.11	313.851435562518	-0.109082875043099	0.177376985432714	-0.614977612664851	0.538569505208103	0.964584053049341
ENSG00000001036.9	216.918584571099	-0.118431701724409	0.0631059882725251	-1.87671098997703	0.0605577155551147	0.956653910182263
ENSG00000001084.6	925.75898894623	0.0158179600875237	0.0529386748736826	0.298797809451541	0.765094322436728	0.977248530143445
ENSG00000001167.10	696.172013599271	-0.0549056983316037	0.043445119688501	-1.26379438531357	0.206303836975986	0.956653910182263
ENSG00000001460.13	304.110483189246	0.0605324485015237	0.0532061262107947	1.1376969686104	0.255247039671641	0.956653910182263
ENSG00000001461.12	3437.17229397875	0.0341106212300602	0.0693047077965937	0.49218332079508	0.622589754380912	0.968998356968165
ENSG00000001497.12	502.324482888971	-0.0257525879082787	0.0657123468550557	-0.391898770029964	0.695133011817148	0.970768166463047
ENSG00000001561.6	1566.30446432264	-0.0419374435478014	0.0771604966797551	-0.543509248286172	0.586779225023926	0.966322141801468
ENSG00000001617.7	65.1379829126577	0.020876104477307	0.149701665766757	0.139451383993502	0.889093470430049	0.991372699018184
ENSG00000001626.10	33.024043936305	0.0500744125852176	0.140258635379602	0.357014827997535	0.721080705140956	0.974739519032195
ENSG00000001629.5	2751.45751289063	0.00439126089792837	0.0512056177958634	0.0857574048893345	0.93165926765673	0.99461047295256
ENSG00000001630.11	2717.83708450582	-0.0190789113428679	0.074366306132609	-0.256553166817868	0.797523732518584	0.981330426033938
ENSG00000001631.10	1114.90460382595	0.00594861782668078	0.0479061174050955	0.124172405298035	0.90117877050055	0.991813084219699
ENSG00000002016.12	240.559153974986	-0.00975469051853407	0.0765362928420245	-0.127451829142918	0.898582796945877	0.991699370801465
ENSG00000002330.9	754.755982257432	0.00917288640305249	0.0546040922859094	0.167988991649616	0.866591939398911	0.988550891220675
