gene_id gene_name pvalue
ENSG00000000003.10 TSPAN6 0.02933505935043341
ENSG00000000419.8 DPM1 0.0787232604170215
ENSG00000000457.9 SCYL3 0.5316150449721873
ENSG00000000460.12 C1orf112 0.6837121267748901
ENSG00000000938.8 FGR 1
ENSG00000000971.11 CFH 0.2508903610454628
ENSG00000001036.9 FUCA2 0.03170983267266236
ENSG00000001084.6 GCLC 0.04748380122642218
ENSG00000001167.10 NFYA 0.6002829064953981
ENSG00000001460.13 STPG1 0.8123080734110757
ENSG00000001461.12 NIPAL3 0.15793788143549148
ENSG00000001497.12 LAS1L 0.8143034218569033
ENSG00000001561.6 ENPP4 1.7928612073823483e-4
ENSG00000001617.7 SEMA3F 0.6964412268162531
ENSG00000001626.10 CFTR 0.6573295158192951
ENSG00000001629.5 ANKIB1 0.007058763176903561
ENSG00000001630.11 CYP51A1 0.19936227904384934
ENSG00000001631.10 KRIT1 0.143618067383134
ENSG00000002016.12 RAD52 0.17227011579993176
ENSG00000002330.9 BAD 0.1728854290728028
ENSG00000002549.8 LAP3 1
ENSG00000002586.13 CD99 1
ENSG00000002587.5 HS3ST1 1
ENSG00000002745.8 WNT16 0.03619499745467429
ENSG00000002746.10 HECW1 0.27182580548639124
ENSG00000002822.11 MAD1L1 1
ENSG00000002834.13 LASP1 4.515801049344135e-5
ENSG00000002919.10 SNX11 1
ENSG00000002933.3 TMEM176A 1
ENSG00000003056.3 M6PR 0.24444329725616512
ENSG00000003096.9 KLHL13 0.0016234958368033356
ENSG00000003137.4 CYP26B1 0.8367708890008431
ENSG00000003147.13 ICA1 0.3739090780773203
ENSG00000003249.9 DBNDD1 2.4881377970198046e-4
ENSG00000003393.10 ALS2 0.40057282840179814
ENSG00000003400.10 CASP10 1
ENSG00000003402.15 CFLAR 1
ENSG00000003436.10 TFPI 1
ENSG00000003509.11 NDUFAF7 0.03856405251389469
ENSG00000003756.12 RBM5 1
ENSG00000003987.9 MTMR7 0.00539207788691343
ENSG00000003989.12 SLC7A2 1
ENSG00000004059.6 ARF5 0.6753323141690297
ENSG00000004139.9 SARM1 0.0013723782442324156
ENSG00000004142.7 POLDIP2 1
ENSG00000004399.8 PLXND1 0.006238033804836836
ENSG00000004455.12 AK2 1
