gene_id gene_name pvalue
ENSG00000000003.10 TSPAN6 0.881168312675824
ENSG00000000419.8 DPM1 0.778678814919175
ENSG00000000457.9 SCYL3 0.983274874391095
ENSG00000000460.12 C1orf112 0.237123745111953
ENSG00000000938.8 FGR 0.713758988395203
ENSG00000000971.11 CFH 0.643603433964342
ENSG00000001036.9 FUCA2 0.816809309238367
ENSG00000001084.6 GCLC 0.826058801595762
ENSG00000001167.10 NFYA 0.708173977588171
ENSG00000001460.13 STPG1 0.146618293972615
ENSG00000001461.12 NIPAL3 0.460610495751793
ENSG00000001497.12 LAS1L 0.310674815220802
ENSG00000001561.6 ENPP4 0.963632524994524
ENSG00000001617.7 SEMA3F 0.723845440739132
ENSG00000001626.10 CFTR 0.660979656694598
ENSG00000001629.5 ANKIB1 0.727513758699952
ENSG00000001630.11 CYP51A1 0.426433536614364
ENSG00000001631.10 KRIT1 0.924845728715455
ENSG00000002016.12 RAD52 0.777926757783564
ENSG00000002330.9 BAD 0.0829242021601098
ENSG00000002549.8 LAP3 0.447627122614592
ENSG00000002586.13 CD99 0.305841231802196
ENSG00000002587.5 HS3ST1 0.783684291558488
ENSG00000002745.8 WNT16 0.330991545901665
ENSG00000002746.10 HECW1 0.0184744243954578
ENSG00000002822.11 MAD1L1 0.522014972331497
ENSG00000002834.13 LASP1 0.960549315147371
ENSG00000002919.10 SNX11 0.967320060510794
ENSG00000002933.3 TMEM176A 0.93130459933313
ENSG00000003056.3 M6PR 0.631955226126965
ENSG00000003096.9 KLHL13 0.277197588219692
ENSG00000003137.4 CYP26B1 0.0399966950875209
ENSG00000003147.13 ICA1 0.764980624037374
ENSG00000003249.9 DBNDD1 0.123959871310938
ENSG00000003393.10 ALS2 0.553670268845896
ENSG00000003400.10 CASP10 0.806968676181616
ENSG00000003402.15 CFLAR 0.323569146803417
ENSG00000003436.10 TFPI 0.771861430141004
ENSG00000003509.11 NDUFAF7 0.0841456089139151
ENSG00000003756.12 RBM5 0.999649927944018
ENSG00000003987.9 MTMR7 0.576050660788014
ENSG00000003989.12 SLC7A2 0.981952516020655
ENSG00000004059.6 ARF5 0.621711834112639
ENSG00000004139.9 SARM1 0.90696074083926
ENSG00000004142.7 POLDIP2 0.463278036628265
ENSG00000004399.8 PLXND1 0.310752986162826
ENSG00000004455.12 AK2 0.306488228670961
