n,DE_pattern,DE_pattern_index,replicate,method,sensitivity,fdr,number_of_true_discoveries_ct1,number_of_true_discoveries_ct2,number_of_true_discoveries_ct3,number_of_discoveries_ct1,number_of_discoveries_ct2,number_of_discoveries_ct3,power_ct1,power_ct2,power_ct3,type_I_error_ct1,type_I_error_ct2,type_I_error_ct3
50,2_1_1,1,1,CARseq_with_RIN,0.0185,0.0512820512820513,37,0,0,38,1,0,0.216,0.0325,0.035,0.038125,0.037875,0.038875
50,2_1_1,1,1,CARseq_without_RIN,0.001,0.333333333333333,2,0,0,2,1,0,0.127,0.0485,0.0285,0.0171657687006641,0.0657812304222529,0.0248089211878211
50,2_1_1,1,1,CIBERSORTx_with_B_mode,0.3265,0.581141757536883,653,178,555,696,189,674,0.3435,0.1185,0.3045,0.0339960238568588,0.0298559887600983,0.0805751492132393
50,2_1_1,1,1,CIBERSORTx_with_B_mode_without_RIN,0.318,0.523595505617978,636,150,468,664,156,515,0.335,0.1105,0.2835,0.0274353876739563,0.0249385317878469,0.0436787845903418
50,2_1_1,1,1,CIBERSORTx_without_B_mode,0.478,0.512244897959184,956,211,590,1033,219,708,0.505,0.147,0.337,0.0393713545042126,0.0278727320536419,0.0784402629789163
50,2_1_1,1,1,CIBERSORTx_without_B_mode_without_RIN,0.458,0.457988165680473,916,186,496,955,193,542,0.4925,0.1395,0.313,0.0293259883344135,0.0249802787273205,0.0467014282475629
50,2_1_1,1,1,TOAST_with_RIN,0,NA,0,0,0,0,0,0,0.102,0.0355,0.037,0.04325,0.0405,0.037875
50,2_1_1,1,1,TOAST_without_RIN,0,NA,0,0,0,0,0,0,0.0765,0.0625,0.026,0.041625,0.07625,0.0315
50,2_1_1,1,1,TOAST_TPM_with_RIN,0.0025,0.375,5,0,0,7,0,1,0.1405,0.0365,0.066,0.0555,0.04625,0.05575
50,2_1_1,1,1,TOAST_TPM_without_RIN,0,1,0,0,0,0,1,0,0.097,0.0835,0.0345,0.033375,0.097125,0.031875
50,2_1_1,1,1,csSAM,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
50,2_2_1,2,1,CARseq_with_RIN,0.07275,0.12874251497006,284,7,0,325,7,2,0.376,0.0895,0.049,0.0573893473368342,0.0432608152038009,0.0510127531882971
50,2_2_1,2,1,CARseq_without_RIN,0.0195,0.0487804878048781,78,0,0,82,0,0,0.2735,0.05,0.0265,0.0378161783120461,0.0245429501627849,0.0288004007012271
50,2_2_1,2,1,CIBERSORTx_with_B_mode,0.2415,0.315864022662889,779,187,354,846,194,372,0.4005,0.108,0.2155,0.0362703467799009,0.0117011701170117,0.0380362671384343
50,2_2_1,2,1,CIBERSORTx_with_B_mode_without_RIN,0.23125,0.332129963898917,768,157,287,913,161,311,0.394,0.105,0.193,0.0741330502476999,0.0204020402040204,0.0559486952675807
50,2_2_1,2,1,CIBERSORTx_without_B_mode,0.312,0.336170212765957,1045,203,486,1135,214,531,0.5475,0.123,0.2965,0.0375861036238395,0.0126234906695939,0.0415197806502154
50,2_2_1,2,1,CIBERSORTx_without_B_mode_without_RIN,0.3005,0.374609781477627,1023,179,442,1239,187,496,0.5325,0.116,0.2765,0.0832584606169512,0.0216794731064764,0.054445750097924
50,2_2_1,2,1,TOAST_with_RIN,0.007,0.0967741935483871,28,0,0,31,0,0,0.2295,0.1305,0.031,0.03925,0.049875,0.02825
50,2_2_1,2,1,TOAST_without_RIN,0.002,0.111111111111111,8,0,0,9,0,0,0.202,0.099,0.0215,0.044375,0.038375,0.02125
