baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	n_zeros	percent_zeros
DNAJC11	14.492513524934	-0.257710561417261	0.220577312900188	-1.16834572889133	0.242667336707633	0.860010109148586	0	0
NADK	2.3651847613135	-0.0776892399167355	0.497160274783632	-0.156265984748171	0.875823367157258	NA	3	0.130434782608696
MASP2	2.83501590166695	0.027737648743622	0.472057153286299	0.0587590899756991	0.953143993599044	NA	5	0.217391304347826
CLCN6	7.48096372813405	-0.0327812850340255	0.290293313994702	-0.112924698757009	0.910090254797893	0.993887166846765	0	0
TNFRSF1B	1.64841558127652	0.218185648399555	0.547686993127226	0.398376538310215	0.690352649515659	NA	4	0.173913043478261
THAP3	3.82249228188771	-0.450039070109055	0.371168018210721	-1.2124942021636	0.225323260620633	NA	1	0.0434782608695652
VPS13D	55.6519381366636	-0.0131016648621443	0.119663280017506	-0.109487763165339	0.912815626998997	0.994049804577362	0	0
H6PD	8.62440175684562	0.073471234011754	0.242959341842884	0.302401354294358	0.762346122468333	0.977427756395184	0	0
VAMP3	4.89902581799173	-0.368931396953909	0.325010552358598	-1.13513667256825	0.256318058129096	0.86449751866625	0	0
PER3	39.8313937274388	-0.209892992769337	0.190076597851789	-1.10425478539447	0.269482630387861	0.871902847762124	0	0
KIF1B	170.006511723681	0.109444035316963	0.0834525507122899	1.31145224900651	0.189705016358763	0.828327506071466	0	0
PRKCZ	15.3193543133213	-0.476064971903438	0.215166070187215	-2.21254666913429	0.0269289152997882	0.598722074087196	0	0
KCNAB2	8.80032717766401	-0.696079843758581	0.270848101842843	-2.57000081973059	0.010169827433588	0.451312466399267	0	0
ENO1	30.6656479116541	-0.17830310532623	0.199744976013684	-0.89265376724176	0.372042616116531	0.913052579714341	0	0
GNB1	62.0491437622968	-0.0754516028836093	0.131690551887909	-0.57294621217649	0.566681113562796	0.953063400608974	0	0
SDF4	10.3009038829214	0.102171088640223	0.251253245855328	0.40664584567816	0.68426812013185	0.967638178607713	0	0
PLOD1	5.24017534058319	0.107875056788039	0.295919030040058	0.364542478979592	0.71545295910141	0.970912067048152	0	0
ACOT7	27.7672385932997	-0.0814282898501919	0.162233955687851	-0.501918907820168	0.615724564444602	0.960169772129624	0	0
DVL1	5.66829801943034	-0.45943069723505	0.359337081117212	-1.27855075742987	0.201055299932668	0.832501496106436	1	0.0434782608695652
MORN1	2.64614305713439	1.11741465892841	0.497653722024407	2.2453658226103	0.0247446576102138	NA	3	0.130434782608696
CEP104	10.8476805637777	0.025607943317439	0.225833237801957	0.11339315490794	0.909718866303408	0.99385432712665	0	0
WRAP73	4.18115050520325	-0.347583765752408	0.388149532458355	-0.895489332554333	0.370525565700182	NA	2	0.0869565217391304
ICMT	5.10417613526707	-0.208850140080951	0.348562968479901	-0.599174780361079	0.549056338586198	0.951098502287253	0	0
RPL22	8.80838876531557	0.415041498984926	0.287672662646943	1.44275613527553	0.14908917978783	0.796518328152766	1	0.0434782608695652
CHD5	10.7002275409714	-0.188245875724406	0.327705028053798	-0.574436946672366	0.565672157172385	0.95279625570319	0	0
PHF13	2.96688556425346	-0.868877564601662	0.451192091828089	-1.92573757461316	0.0541371496362057	NA	2	0.0869565217391304
ERRFI1	6.76132359874946	0.0681127148953062	0.302458908088236	0.225196590590864	0.821826341651778	0.983771767915084	0	0
PARK7	17.3523022275054	-0.553317670276666	0.254617543604026	-2.17313254398986	0.0297703429553553	0.606464415061953	1	0.0434782608695652
SRM	8.68468206648962	-0.363347689148573	0.297419566997889	-1.22166706385916	0.221833556302171	0.84902773726839	1	0.0434782608695652
FBXO2	5.71253060480676	-0.246912430927826	0.424396703930129	-0.581796297288106	0.560703898415994	0.952268663384984	1	0.0434782608695652
FBXO6	2.59765626784055	-0.637755029946613	0.453003856824001	-1.40783576196878	0.159179708184359	NA	5	0.217391304347826
MAD2L2	4.33203704969492	-0.275739887085385	0.351266729180256	-0.784987202542278	0.432461071931034	NA	1	0.0434782608695652
KIAA2013	8.50605988552317	-0.137593545844186	0.249158115268724	-0.55223385237036	0.580788143805172	0.954885349422953	0	0
MFN2	11.3996044740155	0.00572743150277502	0.226103089393102	0.025331062561544	0.9797908975345	0.999169910659551	0	0
MIIP	4.66486701183648	-0.439205404163083	0.422973978414598	-1.03837452556614	0.299095724691585	NA	2	0.0869565217391304
PRDM2	36.1239024200573	-0.0758751766447778	0.143598940615372	-0.528382565495442	0.597233835771271	0.958247122134739	0	0
UBIAD1	5.68801645082793	0.221868727929511	0.30963732626043	0.716543869594396	0.473655589323107	0.940567618816565	1	0.0434782608695652
TARDBP	0.918809535859586	-0.0250618792898134	0.726017536291417	-0.0345196610784809	0.97246276441703	NA	8	0.347826086956522
TNFRSF8	1.5681092279615	-0.530887638604347	0.545359212970346	-0.973464142492105	0.330322673201184	NA	6	0.260869565217391
