gene_id gene_name pvalue
ENSG00000000003.10 TSPAN6 0.958956343949676
ENSG00000000419.8 DPM1 0.653801178717632
ENSG00000000457.9 SCYL3 0.825769707315551
ENSG00000000460.12 C1orf112 0.432228342183924
ENSG00000000938.8 FGR 0.979007925057757
ENSG00000000971.11 CFH 0.399111576294391
ENSG00000001036.9 FUCA2 0.564890053111048
ENSG00000001084.6 GCLC 0.801387477356867
ENSG00000001167.10 NFYA 0.920091843309961
ENSG00000001460.13 STPG1 0.230955269245932
ENSG00000001461.12 NIPAL3 0.426066108869622
ENSG00000001497.12 LAS1L 0.282699775671946
ENSG00000001561.6 ENPP4 0.78303358070261
ENSG00000001617.7 SEMA3F 0.492128377486984
ENSG00000001626.10 CFTR 0.898843105417556
ENSG00000001629.5 ANKIB1 0.65501948989158
ENSG00000001630.11 CYP51A1 0.836359773640194
ENSG00000001631.10 KRIT1 0.662597782156496
ENSG00000002016.12 RAD52 0.955151865579185
ENSG00000002330.9 BAD 0.608484718366841
ENSG00000002549.8 LAP3 0.209232572823795
ENSG00000002586.13 CD99 0.71293049934962
ENSG00000002587.5 HS3ST1 0.986899725435886
ENSG00000002745.8 WNT16 0.396727464102371
ENSG00000002746.10 HECW1 0.981203868510174
ENSG00000002822.11 MAD1L1 0.308084360216595
ENSG00000002834.13 LASP1 0.701219077631825
ENSG00000002919.10 SNX11 0.547972375536191
ENSG00000002933.3 TMEM176A 0.464436856833342
ENSG00000003056.3 M6PR 0.969867899712655
ENSG00000003096.9 KLHL13 0.559294986692327
ENSG00000003137.4 CYP26B1 0.897490084191547
ENSG00000003147.13 ICA1 0.340546502217853
ENSG00000003249.9 DBNDD1 0.13195731017695
ENSG00000003393.10 ALS2 0.507517025470253
ENSG00000003400.10 CASP10 0.528676519615583
ENSG00000003402.15 CFLAR 0.60184856444599
ENSG00000003436.10 TFPI 0.725320204797056
ENSG00000003509.11 NDUFAF7 0.232804866075761
ENSG00000003756.12 RBM5 0.605629923257175
ENSG00000003987.9 MTMR7 0.308276232751196
ENSG00000003989.12 SLC7A2 0.887698196906882
ENSG00000004059.6 ARF5 0.793315951814896
ENSG00000004139.9 SARM1 0.752609562972414
ENSG00000004142.7 POLDIP2 0.710927734698056
ENSG00000004399.8 PLXND1 0.857696645923113
ENSG00000004455.12 AK2 0.598683857919592
ENSG00000004468.8 CD38 0.866160621261461
ENSG00000004478.5 FKBP4 0.338849451978347
ENSG00000004487.11 KDM1A 0.560744307230876
ENSG00000004534.10 RBM6 0.416420088313283
ENSG00000004660.10 CAMKK1 0.760901505155901
ENSG00000004700.11 RECQL 0.348736906720921
ENSG00000004766.11 CCDC132 0.179067400398912
ENSG00000004776.7 HSPB6 0.242798417780237
ENSG00000004777.14 ARHGAP33 0.861789061197337
ENSG00000004779.5 NDUFAB1 0.224838366372418
ENSG00000004799.7 PDK4 0.234292230682374
ENSG00000004838.9 ZMYND10 0.606643964580307
ENSG00000004848.6 ARX 0.0650985936495895
ENSG00000004864.9 SLC25A13 0.607169371679348
ENSG00000004866.14 ST7 0.127853677229661
ENSG00000004897.7 CDC27 0.840919234269468
ENSG00000004961.10 HCCS 0.484754112820566
ENSG00000004975.7 DVL2 0.80456322948264
ENSG00000005007.8 UPF1 0.649269588910108
ENSG00000005020.8 SKAP2 0.744296033643051
ENSG00000005022.5 SLC25A5 0.316396295073566
ENSG00000005059.11 CCDC109B 0.268410370876263
ENSG00000005075.11 POLR2J 0.144204029576479
ENSG00000005100.8 DHX33 0.962806586016945
ENSG00000005108.11 THSD7A 0.151970939055725
ENSG00000005156.7 LIG3 0.44048388248718
ENSG00000005175.5 RPAP3 0.59433431324871
ENSG00000005189.15 AC004381.6 0.5875943320725
ENSG00000005194.10 CIAPIN1 0.798788259002551
ENSG00000005206.12 SPPL2B 0.520687319287683
ENSG00000005238.15 FAM214B 0.532055799304759
ENSG00000005243.5 COPZ2 0.835473832954226
